,true,pred,corr
0,9,9,True
1,1,1,True
2,7,4,False
3,0,0,True
4,1,1,True
5,7,7,True
6,3,4,False
7,2,7,False
8,2,0,False
9,2,2,True
10,9,9,True
11,7,7,True
12,3,3,True
13,7,7,True
14,1,1,True
15,4,6,False
16,1,1,True
17,8,8,True
18,3,3,True
19,9,9,True
20,0,0,True
21,1,1,True
22,2,2,True
23,2,5,False
24,6,6,True
25,1,1,True
26,7,3,False
27,7,7,True
28,1,1,True
29,9,9,True
30,4,4,True
31,3,4,False
32,4,4,True
33,8,8,True
34,5,5,True
35,5,5,True
36,1,1,True
37,7,7,True
38,9,9,True
39,5,3,False
40,0,3,False
41,5,5,True
42,6,3,False
43,8,0,False
44,8,8,True
45,2,5,False
46,5,5,True
47,3,3,True
48,1,1,True
49,3,5,False
50,1,8,False
51,3,5,False
52,0,0,True
53,7,7,True
54,3,6,False
55,6,4,False
56,8,0,False
57,6,2,False
58,6,2,False
59,1,1,True
60,1,1,True
61,0,0,True
62,7,7,True
63,4,4,True
64,9,9,True
65,2,7,False
66,5,5,True
67,2,5,False
68,8,8,True
69,5,3,False
70,6,1,False
71,4,2,False
72,1,1,True
73,1,1,True
74,9,1,False
75,1,8,False
76,5,5,True
77,4,5,False
78,6,6,True
79,0,6,False
80,6,6,True
81,0,0,True
82,1,1,True
83,2,3,False
84,5,5,True
85,1,1,True
86,8,0,False
87,6,6,True
88,3,6,False
89,7,7,True
90,4,5,False
91,0,5,False
92,1,0,False
93,4,3,False
94,0,9,False
95,0,0,True
96,5,3,False
97,9,9,True
98,5,4,False
99,7,5,False
100,0,3,False
101,4,6,False
102,0,8,False
103,6,6,True
104,1,1,True
105,6,6,True
106,8,8,True
107,0,0,True
108,7,3,False
109,2,4,False
110,4,4,True
111,1,6,False
112,1,6,False
113,8,8,True
114,6,6,True
115,2,2,True
116,2,2,True
117,2,2,True
118,5,5,True
119,8,8,True
120,1,1,True
121,9,9,True
122,8,8,True
123,1,6,False
124,0,0,True
125,1,1,True
126,1,1,True
127,1,1,True
128,9,9,True
129,8,9,False
130,8,4,False
131,6,6,True
132,1,1,True
133,0,0,True
134,8,3,False
135,8,8,True
136,4,2,False
137,5,4,False
138,0,0,True
139,7,7,True
140,7,3,False
141,0,0,True
142,7,4,False
143,9,9,True
144,9,7,False
145,0,0,True
146,9,9,True
147,4,4,True
148,4,4,True
149,6,2,False
150,3,7,False
151,3,3,True
152,6,6,True
153,9,5,False
154,8,8,True
155,0,0,True
156,8,8,True
157,5,3,False
158,7,3,False
159,8,8,True
160,2,2,True
161,1,1,True
162,0,0,True
163,6,5,False
164,5,3,False
165,6,6,True
166,0,7,False
167,2,6,False
168,6,6,True
169,3,5,False
170,5,3,False
171,6,6,True
172,6,6,True
173,0,0,True
174,1,1,True
175,7,9,False
176,6,6,True
177,6,2,False
178,5,5,True
179,3,5,False
180,4,4,True
181,3,4,False
182,8,8,True
183,2,3,False
184,9,9,True
185,8,8,True
186,0,0,True
187,1,1,True
188,3,5,False
189,8,8,True
190,1,7,False
191,3,3,True
192,0,0,True
193,8,8,True
194,2,2,True
195,7,2,False
196,6,6,True
197,7,7,True
198,6,6,True
199,4,4,True
200,4,0,False
201,4,4,True
202,3,3,True
203,4,0,False
204,4,9,False
205,4,4,True
206,7,7,True
207,4,4,True
208,1,1,True
209,5,3,False
210,1,1,True
211,2,2,True
212,8,8,True
213,6,4,False
