,Dice
0,0.9750936627388
1,0.8606448173522949
2,0.9691491723060608
3,0.9774645566940308
4,0.9705780148506165
5,0.9647144079208374
6,0.920486569404602
7,0.9614620208740234
8,0.9791257381439209
9,0.9068127870559692
10,0.9255995154380798
11,0.8092812895774841
12,0.9717822074890137
13,0.9767853617668152
14,0.965117871761322
15,0.9690884351730347
16,0.8752031922340393
17,0.8921831250190735
18,0.9603354334831238
19,0.9666830897331238
20,0.9804602265357971
21,0.9424868226051331
22,0.9765516519546509
23,0.4717686176300049
24,0.9683517813682556
25,0.9603903889656067
26,0.9538429975509644
27,0.9400571584701538
28,0.9613324403762817
29,0.978588342666626
30,0.8768969178199768
31,0.9763253331184387
32,0.9787585139274597
33,0.7069475650787354
34,0.9807776212692261
35,0.9041275382041931
36,0.9333497881889343
37,0.9451759457588196
38,0.9745306372642517
39,0.9712101221084595
40,0.8685998320579529
41,0.9678788781166077
42,0.9385689496994019
43,0.980838418006897
44,0.9611880779266357
45,0.8859778046607971
46,0.9585636854171753
47,0.7514404654502869
48,0.9649021625518799
49,0.9600723385810852
50,0.9731540679931641
51,0.9476247429847717
52,0.973090410232544
53,0.9784849286079407
54,0.9682517647743225
55,0.9787692427635193
56,0.9800106883049011
57,0.9815556406974792
58,0.9739925861358643
59,0.7271575927734375
60,0.9803527593612671
61,0.9420714974403381
62,0.9420429468154907
63,0.9660791754722595
64,0.9700395464897156
65,0.9762923121452332
66,0.9113350510597229
67,0.9620333313941956
68,0.9639227390289307
69,0.9672717452049255
70,0.9616091847419739
71,0.9701388478279114
72,0.8084352612495422
73,0.7295606136322021
74,0.9631044268608093
75,0.9714317321777344
76,0.8303766846656799
77,0.9548574686050415
78,0.9794114828109741
79,0.9379081130027771
80,0.9315895438194275
