,Dice score
0,0.9595370888710022
1,0.8756153583526611
2,0.9583019018173218
3,0.9679630398750305
4,0.9657579064369202
5,0.957409143447876
6,0.8987700939178467
7,0.9626091718673706
8,0.9632182121276855
9,0.9364452362060547
10,0.6478511095046997
11,0.36201176047325134
12,0.944037675857544
13,0.9733693599700928
14,0.9384790062904358
15,0.9620274305343628
16,0.8920511603355408
17,0.8915027379989624
18,0.9404405355453491
19,0.9596831202507019
20,0.9747920632362366
21,0.943085253238678
22,0.9567561745643616
23,0.44636058807373047
24,0.9514065980911255
25,0.9471014142036438
26,0.9343631267547607
27,0.8308073282241821
28,0.9404115080833435
29,0.9698383212089539
30,0.8345450758934021
31,0.9558140635490417
32,0.9660670161247253
33,0.699703574180603
34,0.9685752391815186
35,0.9109172224998474
36,0.9159522652626038
37,0.9111534953117371
38,0.9665566086769104
39,0.9614314436912537
40,0.7890310883522034
41,0.9496045708656311
42,0.8499155044555664
43,0.9720898866653442
44,0.9513002038002014
45,0.8484691381454468
46,0.9488807320594788
47,0.8701109886169434
48,0.9414665699005127
49,0.9470788240432739
50,0.9471011757850647
51,0.9550749659538269
52,0.9616144299507141
53,0.9576579928398132
54,0.9495431184768677
55,0.9685116410255432
56,0.9758034348487854
57,0.9764087200164795
58,0.9690312147140503
59,0.6735814809799194
60,0.9690432548522949
61,0.9106379747390747
62,0.936832845211029
63,0.9557849168777466
64,0.9585806727409363
65,0.9703468680381775
66,0.9270988702774048
67,0.9447392821311951
68,0.9488519430160522
69,0.9670795202255249
70,0.9561566710472107
71,0.9566763639450073
72,0.800316333770752
73,0.7279019951820374
74,0.9050676822662354
75,0.966708242893219
76,0.7792423963546753
77,0.9214029908180237
78,0.9697957634925842
79,0.8767966628074646
80,0.9040742516517639
