type,uuid,slice,x,y,detected,detected_diam,label
FB,1280,100,323,381,False,0.0,True
FB,1009,76,354,288,False,0.0,True
FB,7794,79,163,191,False,0.0,True
FB,7794,94,338,243,False,0.0,True
FB,2997,45,156,135,False,0.0,True
FB,2997,52,179,370,False,0.0,True
FB,2997,63,156,260,False,0.0,True
FB,2997,70,85,197,False,0.0,True
FB,2997,81,418,184,False,0.0,True
FB,2043,208,42,269,False,0.0,True
FB,2043,298,150,99,False,0.0,True
FB,2043,299,59,290,False,0.0,True
FB,2043,494,195,348,False,0.0,True
FB,2043,504,185,338,False,0.0,True
FB,2446,128,162,309,False,0.0,True
FB,2142,89,346,207,True,12.5,True
FB,2142,91,410,329,False,0.0,True
FB,2142,121,186,290,False,0.0,True
FB,2559,73,118,196,True,4.4,True
FB,4044,111,406,248,False,0.0,True
FB,1067,186,142,291,True,20.2,True
FB,9228,289,112,307,False,0.0,True
FB,9228,338,200,191,False,0.0,True
FB,3381,76,141,283,False,0.0,True
FB,6219,80,147,307,False,0.0,True
FB,3132,33,212,320,False,0.0,True
FB,3132,82,116,272,False,0.0,True
FB,3132,98,158,281,False,0.0,True
FB,1219,47,125,317,False,0.0,True
FB,1219,57,185,316,False,0.0,True
FB,1402,28,110,331,False,0.0,True
FB,1402,58,399,188,False,0.0,True
FB,1402,104,157,317,False,0.0,True
FB,2835,20,319,333,False,0.0,True
FB,2835,38,386,276,False,0.0,True
FB,2835,41,370,283,False,0.0,True
FB,2835,48,373,233,False,0.0,True
FB,3138,376,120,287,False,0.0,True
FB,3251,304,145,400,False,0.0,True
FB,3251,379,95,358,False,0.0,True
FB,1883,89,128,336,False,0.0,True
FB,1883,123,358,374,False,0.0,True
FB,1883,131,145,314,False,0.0,True
FB,1883,182,186,329,False,0.0,True
FB,2628,72,299,364,False,0.0,True
FB,2628,124,167,361,False,0.0,True
FB,1356,119,103,269,False,0.0,True
FB,2767,111,336,367,False,0.0,True
FB,7478,73,356,276,False,0.0,True
FB,1411,92,133,281,False,0.0,True
FB,4632,40,383,302,False,0.0,True
FB,2508,188,169,215,False,0.0,True
FB,3378,108,381,269,True,3.4,True
FB,1535,80,424,238,False,0.0,True
FB,1535,96,378,193,False,0.0,True
FB,1535,108,140,282,False,0.0,True
FB,1535,128,340,276,False,0.0,True
FB,2494,23,116,358,False,0.0,True
FB,2494,24,310,344,False,0.0,True
FB,2494,64,333,370,False,0.0,True
FB,2494,67,402,299,False,0.0,True
FM,4142,150,381,229,True,11.2,False
FM,2838,165,190,397,True,17.3,False
FM,2320,116,146,307,True,13.9,False
FM,5614,139,394,224,True,12.8,False
FM,1452,92,329,329,True,12.4,False
FM,1003,267,308,334,True,15.0,False
FM,1003,295,163,312,True,15.4,False
FM,1937,82,202,198,True,13.2,False
FM,1901,166,392,334,True,14.1,False
FM,2484,359,190,240,True,12.9,False
FM,1005,207,352,192,True,16.5,False
FM,7668,74,392,395,True,16.3,False
FM,1860,69,346,109,True,13.9,False
FM,2265,56,322,327,True,16.2,False
FM,1201,70,135,291,True,15.8,False
FM,3394,63,145,248,True,14.5,False
FM,2024,114,174,298,True,19.4,False
FM,2819,47,296,276,True,12.9,False
FM,4753,138,369,226,True,16.3,False
FM,8971,54,188,218,True,14.2,False
FM,2860,29,190,313,False,0.0,False
FM,2860,188,183,267,True,15.7,False
FM,3246,129,391,336,True,16.3,False
FM,1438,95,336,385,True,15.6,False
FM,3304,129,315,265,True,14.7,False
FM,8972,52,336,284,True,19.0,False
FM,8038,123,169,207,True,14.4,False
FM,2859,83,113,292,True,13.2,False
FM,2300,56,401,144,True,14.3,False
FM,1565,171,122,348,True,14.9,False
FM,1565,323,379,214,True,14.4,False
FM,1565,372,337,300,True,16.7,False
FM,4364,51,357,371,True,14.1,False
FM,3190,52,413,287,True,14.9,False
TB,6644,0,0,0,False,0.0,False
TB,1531,0,0,0,False,0.0,False
TB,1779,0,0,0,False,0.0,False
TB,1779,0,0,0,False,0.0,False
TB,1779,0,0,0,False,0.0,False
TB,1779,0,0,0,False,0.0,False
TB,1632,0,0,0,False,0.0,False
TB,2925,0,0,0,False,0.0,False
TB,2104,0,0,0,False,0.0,False
TB,2104,0,0,0,False,0.0,False
TB,2104,0,0,0,False,0.0,False
TB,4474,0,0,0,False,0.0,False
TB,6080,0,0,0,False,0.0,False
TB,3361,0,0,0,False,0.0,False
TB,1840,0,0,0,False,0.0,False
TM,1546,159,183,243,True,16.9,True
TM,1045,103,117,258,True,13.4,True
TM,2244,65,294,360,True,8.3,True
TM,2244,66,67,315,False,0.0,True
TM,2244,97,192,403,True,13.9,True
TM,2244,108,102,380,True,7.9,True
TM,6031,51,119,315,False,0.0,True
TM,6031,64,240,290,True,9.2,True
TM,6031,65,365,395,True,7.6,True
TM,6031,71,413,336,True,5.5,True
TM,1871,149,411,216,True,5.6,True
TM,1871,156,177,345,True,8.4,True
TM,1871,207,410,222,True,9.9,True
TM,1871,214,157,203,True,11.3,True
TM,3099,51,181,278,True,11.9,True
TM,2131,103,407,334,False,0.0,True
TM,2131,198,318,184,True,14.1,True
TM,2131,211,385,307,True,4.3,True
TM,7507,201,316,362,True,3.9,True
TM,7507,319,125,323,True,14.2,True
TM,2190,48,147,379,True,5.5,True
TM,2190,213,141,336,True,13.3,True
TM,3025,165,198,331,True,13.9,True
