Long,Lat,globalid,CreationDa,Creator,EditDate,Editor,current_st,species,height,canopy_spr,canopy_s_1,canopy_cov,staining,diameter_b,multiple_d,multidbh_e,d_holes,tree_tag,comment_1,comments_2
-118.4150702,34.61657065,eec68b1d-6312-4983-b2f0-029ea460300b,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-16 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,25,30,25,60,No,21.1,Yes,19.8,30,0,Did not tag_ bark is flaking off _ vacant lot with smaller dead,
-118.4103164,34.6249182,3ad66530-2116-4f14-b7c6-01286d7c8eed,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,20,0,0,0,No,17.8,Yes,15.2,30,1911,Dead,
-118.4102991,34.62493315,d57553c7-5b66-44d6-83e1-ebfb5cb44cd8,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,35,20,25,50,No,18,No,0,37,0,,
-118.4102914,34.6249359,ad962b9e-868d-4ef4-8174-9d621930418c,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-09 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,45,25,35,40,No,21.3,No,0,43,0,,
-118.4102228,34.62487528,9045470c-204b-4208-9f71-b5876d014108,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,40,20,25,35,No,13.5,No,0,0,0,Inspected no d holes but decline in health,
-118.4102638,34.62485645,09756493-628a-475f-85a3-47789bbcd083,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_to_be_monitored,Quercus_Agrifolia,40,25,30,40,No,21.2,No,0,42,0,,
-118.4102276,34.62485103,2bee2943-eba6-4a24-811d-c3fdb9c6a0c8,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,Quercus_Agrifolia,35,0,0,0,No,25.2,,0,100,1912,Tree is dead,
-118.4101158,34.6247935,c8f91f12-d85d-40c8-8cc4-89173b20ab7b,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_To_be_removed,,25,20,15,20,,14.4,,0,14,1915,,
-118.4101573,34.62479997,dd536b8b-1700-43fb-9c5a-69e7a751ec17,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-10-14 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Dead,Quercus_Agrifolia,40,15,15,10,No,14.3,No,0,45,1913,,
-118.4101272,34.62481093,57d9cff5-2a1c-48ea-9fae-230ce9790b91,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,2021-09-08 0:00:00,Melissa.Valente@fire.lacounty.gov_lacounty,Inspected_No_Action,Quercus_Agrifolia,50,20,35,60,No,18.3,No,0,0,0,Shows signs of decline,
