ID,Data Set,GlobalID,CITY,HOST_LATIN_NAME,HOST_COMMON_NAME,REPRODUCTIVE_HOST,Diameter at Breast Hight_INCHES,HEIGHT_FEET,INFESTATION_LEVEL,DIEBACK,PRIORITY_FOR_REMOVAL,Sample Date,x,y
1,1,9f70155b-0869-4558-a797-99d6ce97c4f2,South El Monte,Platanus x hispanica,London plane,Y,14,30,Moderate,Moderate,Moderate,12/1/20,-118.0638211,34.04649836
2,1,b83e919e-7168-4c78-909e-f81c991415d3,South El Monte,Platanus x hispanica,London plane,Y,23,120,Heavy,Low,Moderate to high,12/1/20,-118.0637685,34.04620443
3,1,b59163fc-c6d7-4d00-bc26-a13d9a784792,South El Monte,Platanus x hispanica,London plane,Y,12,30,Low,Low,Low,12/1/20,-118.063848,34.04588088
4,1,b466c05b-8610-4e9f-b7e1-73da09671d11,South El Monte,Platanus x hispanica,London plane,Y,19,55,Heavy,Moderate,Moderate to high,12/1/20,-118.0636258,34.04651819
5,1,3d47b5a2-613b-4b1e-a7f1-1102600b32b1,South El Monte,Platanus x hispanica,London plane,Y,19,100,Severe,Heavy,Moderate to high,12/1/20,-118.0636605,34.04648689
6,1,32e28818-3337-44f6-b65b-5e3d65c0fdcf,South El Monte,Platanus x hispanica,London plane,Y,20,100,Heavy,Heavy,Moderate to high,12/1/20,-118.0636195,34.04636368
7,1,6b1ba4c4-0c45-4941-8047-a5885472d591,South El Monte,Platanus x hispanica,London plane,Y,24,130,Severe,Severe,High,12/1/20,-118.0635823,34.04626527
8,1,203744e3-f853-442d-852a-f8cd4da87a61,South El Monte,Platanus x hispanica,London plane,Y,30,140,Severe,Severe,High,12/1/20,-118.0635428,34.04618806
9,1,af70fefa-8c1a-4f75-a194-84a7d4a2f1ce,South El Monte,Platanus x hispanica,London plane,Y,28,100,Heavy,Moderate,Moderate to high,12/8/20,-118.0636507,34.04603413
10,1,a183080e-3ab6-415a-a0ac-b0ea94e80d22,South El Monte,Platanus x hispanica,London plane,Y,30,100,Moderate,Moderate,Moderate,12/8/20,-118.0636351,34.04590996
11,1,0aec3e13-4788-4407-8428-596bb399a561,South El Monte,Platanus x hispanica,London plane,Y,27,100,Severe,Severe,High,12/8/20,-118.0635555,34.04586442
12,1,57572d98-8bfb-4b88-aae1-d167ee6a21a5,South El Monte,Platanus x hispanica,London plane,Y,28,100,Severe,Severe,High,12/8/20,-118.063634,34.04581154
13,1,5b86a8a2-007f-4c54-862c-6979fbcf8456,South El Monte,Platanus x hispanica,London plane,Y,28,100,Moderate,Moderate,Moderate,12/8/20,-118.0636725,34.04572706
