Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,ARD Version,Units,Collection Number,UL Corner Lat DMS,UL Corner Long DMS,UR Corner Lat DMS,UR Corner Long DMS,LR Corner Lat DMS,LR Corner Long DMS,LL Corner Lat DMS,LL Corner Long DMS,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,Display ID,Entity ID
LE07_CU_003012_20200101_20210504_02,2020/01/01,CU,3,12,2021/05/04,17.0131,6.3305,1.8906,19.8487,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200101_20210504_02,LE07_CU_003012_20200101_20210504_02
LC08_CU_003012_20200102_20210504_02,2020/01/02,CU,3,12,2021/05/04,2.5039,1.7412,0.9304,77.8788,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200102_20210504_02,LC08_CU_003012_20200102_20210504_02
LE07_CU_003012_20200108_20210504_02,2020/01/08,CU,3,12,2021/05/04,0.2561,0.1796,0.0016,93.4172,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200108_20210504_02,LE07_CU_003012_20200108_20210504_02
LC08_CU_003012_20200109_20210504_02,2020/01/09,CU,3,12,2021/05/04,17.404,10.9337,0.1042,1.517,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200109_20210504_02,LC08_CU_003012_20200109_20210504_02
LE07_CU_003012_20200110_20210504_02,2020/01/10,CU,3,12,2021/05/04,1.1416,1.2536,0.7102,80.1902,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200110_20210504_02,LE07_CU_003012_20200110_20210504_02
LC08_CU_003012_20200116_20210504_02,2020/01/16,CU,3,12,2021/05/04,55.7988,21.8945,0.0715,88.0523,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200116_20210504_02,LC08_CU_003012_20200116_20210504_02
LE07_CU_003012_20200117_20210504_02,2020/01/17,CU,3,12,2021/05/04,23.7555,6.7882,0.4842,19.8677,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200117_20210504_02,LE07_CU_003012_20200117_20210504_02
LC08_CU_003012_20200118_20210504_02,2020/01/18,CU,3,12,2021/05/04,0.3448,0.7355,0.46,77.7198,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200118_20210504_02,LC08_CU_003012_20200118_20210504_02
LE07_CU_003012_20200124_20210504_02,2020/01/24,CU,3,12,2021/05/04,3.9619,1.6852,0.0641,93.6748,LANDSAT_7,ETM,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LE07_CU_003012_20200124_20210504_02,LE07_CU_003012_20200124_20210504_02
LC08_CU_003012_20200125_20210504_02,2020/01/25,CU,3,12,2021/05/04,42.7773,6.7792,0.0727,1.613,LANDSAT_8,OLI_TIRS,2,WGS84,AEA,02,METERS,02,34°39'19.98"N,119°24'33.05"W,34°39'19.98"N,117°26'24.36"W,33°02'11.47"N,117°26'24.36"W,33°02'11.47"N,119°24'33.05"W,34.65555,-119.40918,34.65555,-117.44010,33.03652,-117.44010,33.03652,-119.40918,LC08_CU_003012_20200125_20210504_02,LC08_CU_003012_20200125_20210504_02
